index,stime,sites,pH
0,2020-01-01 00:00:00,siteA,6.859
1,2020-01-01 04:00:00,siteA,6.805
2,2020-01-01 08:00:00,siteA,6.758
3,2020-01-01 12:00:00,siteA,6.766
4,2020-01-01 16:00:00,siteA,6.754
5,2020-01-01 20:00:00,siteA,6.782
6,2020-01-02 00:00:00,siteA,6.81
7,2020-01-02 04:00:00,siteA,6.788
8,2020-01-02 08:00:00,siteA,6.78
9,2020-01-02 12:00:00,siteA,6.796
10,2020-01-02 16:00:00,siteA,7.434
11,2020-01-02 20:00:00,siteA,6.895
12,2020-01-03 00:00:00,siteA,6.821
13,2020-01-03 04:00:00,siteA,6.81
14,2020-01-03 08:00:00,siteA,6.772
15,2020-01-03 12:00:00,siteA,7.031
16,2020-01-03 16:00:00,siteA,7.136
17,2020-01-03 20:00:00,siteA,6.973
18,2020-01-04 00:00:00,siteA,6.887
19,2020-01-04 04:00:00,siteA,6.676
20,2020-01-04 08:00:00,siteA,5.852
21,2020-01-04 12:00:00,siteA,5.878
22,2020-01-04 16:00:00,siteA,6.697
23,2020-01-04 20:00:00,siteA,6.727
24,2020-01-05 00:00:00,siteA,6.677
25,2020-01-05 04:00:00,siteA,6.677
26,2020-01-05 08:00:00,siteA,6.712
27,2020-01-05 12:00:00,siteA,6.876
28,2020-01-05 16:00:00,siteA,6.742
29,2020-01-05 20:00:00,siteA,6.74
30,2020-01-06 00:00:00,siteA,6.739
1830,2020-01-01 00:00:00,siteB,6.641
1831,2020-01-01 04:00:00,siteB,6.64
1832,2020-01-01 08:00:00,siteB,6.64
1833,2020-01-01 12:00:00,siteB,6.639
1834,2020-01-01 16:00:00,siteB,6.638
1835,2020-01-01 20:00:00,siteB,6.637
1836,2020-01-02 00:00:00,siteB,6.636
1837,2020-01-02 04:00:00,siteB,6.635
1838,2020-01-02 08:00:00,siteB,6.634
1839,2020-01-02 12:00:00,siteB,6.634
1840,2020-01-02 16:00:00,siteB,6.633
1841,2020-01-02 20:00:00,siteB,6.632
1842,2020-01-03 00:00:00,siteB,6.631
1843,2020-01-03 04:00:00,siteB,6.63
1844,2020-01-03 08:00:00,siteB,6.63
1845,2020-01-03 12:00:00,siteB,6.629
1846,2020-01-03 16:00:00,siteB,6.628
1847,2020-01-03 20:00:00,siteB,6.627
1848,2020-01-04 00:00:00,siteB,6.626
1849,2020-01-04 04:00:00,siteB,6.625
1850,2020-01-04 08:00:00,siteB,6.624
1851,2020-01-04 12:00:00,siteB,6.624
1852,2020-01-04 16:00:00,siteB,6.623
1853,2020-01-04 20:00:00,siteB,6.622
1854,2020-01-05 00:00:00,siteB,6.621
1855,2020-01-05 04:00:00,siteB,6.62
1856,2020-01-05 08:00:00,siteB,6.62
1857,2020-01-05 12:00:00,siteB,6.619
1858,2020-01-05 16:00:00,siteB,6.618
1859,2020-01-05 20:00:00,siteB,6.617
1860,2020-01-06 00:00:00,siteB,6.616
3660,2020-01-01 00:00:00,siteC,6.285
3661,2020-01-01 04:00:00,siteC,6.3
3662,2020-01-01 08:00:00,siteC,6.368
3663,2020-01-01 12:00:00,siteC,6.395
3664,2020-01-01 16:00:00,siteC,6.3
3665,2020-01-01 20:00:00,siteC,6.285
