index,stime,sites,pH,TN,TP,NH3,tempe,hun,DO,cond,COD,phFlag,TNFlag,TPFlag,NHFlag,temperFlag,turbiFlag,doxygenFlag,conductFlag,permangaFlag
0,2020-01-01 00:00:00,j,6.859,6.36,0.15,0.235,15.28,18.418,7.567,260.995,3.609,0,0,0,0,0,1,0,0,0
1,2020-01-01 04:00:00,j,6.805,6.411,0.149,0.228,15.238,18.418,6.917,261.258,3.664,0,0,0,0,0,0,0,0,0
2,2020-01-01 08:00:00,j,6.758,6.459,0.152,0.236,15.28,11.247,6.551,260.869,3.664,0,0,0,0,0,0,0,0,0
3,2020-01-01 12:00:00,j,6.766,6.503,0.152,0.226,15.962,11.728,6.975,253.912,3.854,0,0,0,0,0,1,0,0,0
4,2020-01-01 16:00:00,j,6.754,6.381,0.131,0.127,15.968,12.208,5.639,251.983,3.735,0,0,0,0,0,0,0,0,0
5,2020-01-01 20:00:00,j,6.782,6.262,0.129,0.118,15.658,12.294,6.674,258.864,3.837,0,0,0,0,0,0,0,0,0
6,2020-01-02 00:00:00,j,6.81,6.317,0.131,0.121,15.27,10.186,7.226,251.688,3.549,0,0,0,0,0,0,0,0,0
7,2020-01-02 04:00:00,j,6.788,6.207,0.123,0.128,15.075,15.716,7.016,247.614,3.549,0,0,0,0,0,0,0,0,0
8,2020-01-02 08:00:00,j,6.78,6.27,0.134,0.161,15.458,11.89,6.47,248.621,3.468,0,0,0,0,0,0,0,0,0
9,2020-01-02 12:00:00,j,6.796,6.218,0.123,0.109,16.672,11.314,5.769,250.353,3.248,0,0,0,0,0,0,0,0,0
10,2020-01-02 16:00:00,j,7.434,6.28,0.123,0.534,20.728,9.612,7.385,250.938,3.248,0,1,0,1,0,0,0,1,0
11,2020-01-02 20:00:00,j,6.895,6.342,0.15,0.96,16.1,10.556,7.389,251.524,3.372,0,1,1,1,0,0,0,0,1
12,2020-01-03 00:00:00,j,6.821,6.404,0.177,1.385,15.545,11.098,4.165,272.137,3.497,0,0,0,0,0,0,0,0,0
13,2020-01-03 04:00:00,j,6.81,6.244,0.153,1.161,15.267,12.725,5.895,252.99,3.494,0,0,0,0,0,0,0,0,0
14,2020-01-03 08:00:00,j,6.772,6.047,0.131,0.184,15.788,11.87,5.518,251.652,3.389,0,0,0,0,0,0,0,0,0
15,2020-01-03 12:00:00,j,7.031,6.156,0.141,0.181,18.945,13.455,6.802,130.43,3.213,0,0,0,1,0,0,0,0,0
16,2020-01-03 16:00:00,j,7.136,5.906,0.141,0.178,21.6,9.307,12.63,144.634,3.21,0,1,0,1,0,0,0,1,0
17,2020-01-03 20:00:00,j,6.973,5.657,0.141,0.176,20.852,9.31,8.069,158.837,3.21,0,1,1,1,0,0,0,1,1
18,2020-01-04 00:00:00,j,6.887,5.408,0.141,0.173,19.795,9.269,6.543,173.041,3.21,0,1,1,1,0,0,0,1,1
19,2020-01-04 04:00:00,j,6.676,5.158,0.141,0.17,18.882,9.26,5.857,187.244,3.21,0,1,1,1,0,0,0,1,1
20,2020-01-04 08:00:00,j,5.852,4.908,0.141,0.168,19.845,9.283,6.628,201.448,3.21,0,1,1,1,0,0,0,1,1
21,2020-01-04 12:00:00,j,5.878,4.659,0.141,0.165,22.17,9.714,11.275,215.651,3.21,0,1,0,1,0,0,0,1,0
22,2020-01-04 16:00:00,j,6.697,4.409,0.163,0.162,17.77,10.713,8.137,229.855,3.786,0,1,0,0,0,0,0,0,0
23,2020-01-04 20:00:00,j,6.727,4.16,0.151,0.079,16.722,11.154,7.467,228.943,3.79,0,0,0,0,0,1,0,0,0
24,2020-01-05 00:00:00,j,6.677,4.085,0.14,0.183,16.148,11.594,8.398,228.371,3.344,0,0,0,0,0,0,0,0,0
25,2020-01-05 04:00:00,j,6.677,4.051,0.131,0.031,15.823,13.623,7.911,227.324,3.344,0,0,0,0,0,0,0,0,0
26,2020-01-05 08:00:00,j,6.712,4.22,0.147,1.039,16.09,12.158,7.565,241.357,3.293,0,0,0,0,0,0,0,0,0
27,2020-01-05 12:00:00,j,6.876,4.764,0.147,1.965,18.295,15.1,9.078,191.434,3.921,0,0,0,0,0,0,0,0,0
28,2020-01-05 16:00:00,j,6.742,6.06,0.157,1.018,17.43,30.798,9.408,243.723,4.384,0,1,1,1,0,0,0,0,1
29,2020-01-05 20:00:00,j,6.74,7.357,0.167,0.072,16.898,26.265,8.062,244.333,4.846,0,0,0,0,0,0,0,0,0
30,2020-01-06 00:00:00,j,6.739,5.516,0.16,1.346,16.402,17.064,6.84,258.01,4.338,0,0,0,0,0,0,0,0,0
31,2020-01-06 04:00:00,j,6.781,4.977,0.152,2.041,16.048,19.37,6.042,273.118,4.006,0,0,0,0,0,0,0,0,0
32,2020-01-06 08:00:00,j,6.773,4.877,0.148,1.974,16.388,12.506,5.618,265.849,3.984,0,0,0,0,0,0,0,0,0
