index,stime,sites,pH,TN,TP,NH3,tempe,hun,DO,cond,COD,phFlag,TNFlag,TPFlag,NHFlag,temperFlag,turbiFlag,doxygenFlag,conductFlag,permangaFlag
13158,2019-10-01 00:00:00,a,6.672,6.419,0.41,4.36,27.7,36.305,4.59,439.762,7.1,0,1,0,0,0,0,0,1,0
13159,2019-10-01 04:00:00,a,6.662,6.02,0.27,3.07,26.95,20.718,4.075,439.762,5.6,0,0,0,0,0,0,0,1,0
13160,2019-10-01 08:00:00,a,6.68,4.65,0.25,2.75,27.65,17.435,5.195,439.762,6.1,0,0,0,0,0,0,0,1,0
13161,2019-10-01 12:00:00,a,6.665,4.57,0.24,2.65,32.175,17.74,5.598,439.762,5.2,0,0,0,0,0,0,0,1,0
13162,2019-10-01 16:00:00,a,6.64,4.44,0.24,2.68,32.05,15.782,4.948,439.762,5.1,0,0,0,0,0,0,0,1,0
13163,2019-10-01 20:00:00,a,6.6,3.99,0.23,2.59,29.35,12.433,4.365,439.762,4.1,0,0,0,0,0,0,0,1,0
13164,2019-10-02 00:00:00,a,6.6,4.0,0.22,2.92,28.35,10.478,5.805,439.762,3.1,0,0,0,0,0,0,0,1,0
13165,2019-10-02 04:00:00,a,6.618,4.47,0.25,3.14,27.2,13.13,6.288,439.762,3.4,0,0,0,0,0,0,0,1,0
13166,2019-10-02 08:00:00,a,6.61,3.96,0.28,2.91,27.625,16.955,5.922,439.762,3.9,0,0,0,0,0,0,0,1,0
13167,2019-10-02 12:00:00,a,6.582,3.7,0.27,2.57,32.05,17.61,5.188,439.762,5.2,0,0,0,0,0,0,0,1,0
13168,2019-10-02 16:00:00,a,6.57,3.85,0.26,1.9,31.35,16.37,4.975,439.762,4.0,0,0,0,0,0,0,0,1,0
13169,2019-10-02 20:00:00,a,6.538,3.15,0.25,1.08,29.125,12.503,4.93,439.762,3.7,0,0,0,0,0,0,0,1,0
13170,2019-10-03 00:00:00,a,6.565,4.37,0.31,2.74,28.275,19.89,5.492,439.762,5.7,0,0,0,0,0,0,0,1,0
13171,2019-10-03 04:00:00,a,6.565,2.92,0.26,1.64,27.475,19.195,5.215,439.762,3.3,0,0,0,0,0,0,0,1,0
13172,2019-10-03 08:00:00,a,6.565,3.1,0.26,1.64,28.05,16.153,6.145,439.762,3.3,0,0,0,0,0,0,0,1,0
13173,2019-10-03 12:00:00,a,6.575,3.62,0.3,1.64,31.25,15.935,5.462,439.762,3.3,0,0,0,0,0,0,0,1,0
13174,2019-10-03 16:00:00,a,6.552,3.92,0.26,1.64,31.275,13.827,4.363,439.762,3.3,0,0,0,0,0,0,0,1,0
